date,storage,inflow,outflow,evaporation,elevation,,,,,,,
8/15/65,NA,4071.956,3681.184,NA,NA,,,,,,,
8/16/65,NA,4032.312,3851.085,NA,NA,,,,,,,
8/17/65,NA,3936.035,3822.768,NA,NA,,,,,,,
8/18/65,NA,3805.778,3681.184,NA,NA,,,,,,,
8/19/65,NA,3601.897,3228.115,NA,NA,,,,,,,
8/20/65,NA,3749.144,3284.749,NA,NA,,,,,,,
8/21/65,NA,3533.937,3199.798,NA,NA,,,,,,,
8/22/65,NA,3330.056,3001.581,NA,NA,,,,,,,
8/23/65,NA,3395.184,2944.947,NA,NA,,,,,,,
8/24/65,NA,3361.204,3086.531,NA,NA,,,,,,,
8/25/65,NA,3264.927,3114.848,NA,NA,,,,,,,
8/26/65,NA,3502.788,3171.482,NA,NA,,,,,,,
8/27/65,NA,3491.461,3228.115,NA,NA,,,,,,,
8/28/65,NA,3587.739,3199.798,NA,NA,,,,,,,
8/29/65,NA,3528.273,3171.482,NA,NA,,,,,,,
8/30/65,NA,3454.65,3086.531,NA,NA,,,,,,,
8/31/65,NA,3293.244,3114.848,NA,NA,,,,,,,
9/1/65,NA,2939.284,2789.205,NA,NA,,,,,,,
9/2/65,NA,2664.611,2477.72,NA,NA,,,,,,,
9/3/65,NA,2794.868,2435.245,NA,NA,,,,,,,
9/4/65,NA,2500.373,2406.928,NA,NA,,,,,,,
9/5/65,NA,2452.235,2378.611,NA,NA,,,,,,,
9/6/65,NA,2423.918,2321.978,NA,NA,,,,,,,
9/7/65,NA,2324.809,2265.344,NA,NA,,,,,,,
9/8/65,NA,2276.671,2095.443,NA,NA,,,,,,,
9/9/65,NA,2171.899,2038.81,NA,NA,,,,,,,
9/10/65,NA,2109.602,1868.909,NA,NA,,,,,,,
9/11/65,NA,2010.493,1897.226,NA,NA,,,,,,,
9/12/65,NA,1985.008,1982.176,NA,NA,,,,,,,
9/13/65,NA,2018.988,2067.126,NA,NA,,,,,,,
9/14/65,NA,2047.305,2095.443,NA,NA,,,,,,,
9/15/65,NA,2047.305,2038.81,NA,NA,,,,,,,
9/16/65,NA,2140.75,2095.443,NA,NA,,,,,,,
9/17/65,NA,2098.275,2010.493,NA,NA,,,,,,,
9/18/65,NA,2058.631,1868.909,NA,NA,,,,,,,
9/19/65,NA,2038.81,1812.275,NA,NA,,,,,,,
9/20/65,NA,1968.018,2095.443,NA,NA,,,,,,,
9/21/65,NA,1866.077,2081.285,NA,NA,,,,,,,
9/22/65,NA,1948.196,1996.334,NA,NA,,,,,,,
9/23/65,NA,1914.216,1953.859,NA,NA,,,,,,,
